Year,Quarter,Module Code,Module Name
1,A,M501,Innovation Management and Digital Transformation
1,A,M561,Corporate Governance and Risk Management
1,A,M503,Behavioral Competencies in Virtual Teams
1,B,M506,Research Methods and Scientific Work
1,B,M502,Project Management
1,B,M560,Project Costing and Control
1,C,M517,International Strategic Management
1,C,TBD,"Agile, Lean and Hybrid Project Delivery"
1,C,M511,"CSR, ESG and Ethics"
1,D,M521,Emotional Agility in International Business
1,D,M562,Project Communication and Stakeholder Management
1,D,TBD,Optional Module
2,A,M513,Research Seminar
2,A,M599,Master Thesis
2,B,M599,Master Thesis
